,DeltaDateBin,Count
34,0,755
35,10,12174
36,20,17998
37,30,17433
38,40,11939
39,50,8243
40,60,5890
41,70,4274
42,80,3760
43,90,3417
44,100,2674
45,110,2131
46,120,2036
47,130,2452
48,140,2026
49,150,2008
50,160,1522
51,170,1782
52,180,1826
53,190,1609
54,200,1670
55,210,1363
56,220,1353
57,230,1223
58,240,1020
59,250,843
60,260,803
61,270,653
62,280,792
63,290,632
64,300,411
65,310,430
66,320,394
67,330,367
68,340,349
69,350,212
70,360,194
71,370,145
72,380,145
73,390,153
74,400,129
75,410,55
76,420,105
77,430,16
78,440,22
79,450,10
80,460,10
81,470,17
82,480,3
83,490,6
84,500,1
