,DeltaDateBin,Count
0,0,8918
1,10,3065
2,20,12806
3,30,6310
4,40,12663
5,50,12157
6,60,9668
7,70,11729
8,80,4387
9,90,7447
10,100,11145
11,110,9341
12,120,12262
13,130,10083
14,140,10842
15,150,7402
16,160,7580
17,170,7613
18,180,8179
19,190,5566
20,200,4978
21,210,4775
22,220,4843
23,230,5698
24,240,4982
25,250,6433
26,260,4254
27,270,5509
28,280,296
29,290,6665
30,300,6098
31,310,5118
32,320,7971
33,330,7262
34,340,6870
35,350,8955
36,360,7182
37,370,6533
38,380,6606
39,390,7911
40,400,4220
41,410,8284
42,420,6551
43,430,5820
44,440,5586
45,450,5807
46,460,5556
47,470,4784
48,480,2656
49,490,2189
50,500,944
51,510,316
52,520,212
53,530,248
54,540,131
55,550,46
56,560,16
57,570,11
58,580,13
59,590,85
