Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
BFC5265,G1752-204-022,90.05,16.84969,29.25,0.143,10.5,51.76,-0.03,0.11,8.297,3939.6,52.7,53.9,40.7,69.7,335.11,1083,0.79,
BFC5268,G1752-204-022,75.03,12.60493,30.51,0.167,10.5,50.85,-0.06,0.12,7.881,3950.3,53,53.5,41.6,70.8,361.89,310.2,1.28,
BFC5261,G1752-204-022,81.78,13.9157,32.01,0.153,10.53,48.89,-0.01,0.13,7.395,3951.5,53,53.5,41.4,71.9,353.87,379.9,0.69,
BFC5198,G1752-204-022,71.77,17.20957,31.33,0.189,10.5,51.89,-0.18,0.16,7.614,3952.7,52.5,53.7,41.2,70.6,369.47,353.2,1.22,
BFC5206,G1752-204-022,70.53,18.96405,27.66,0.2,10.54,46.51,-0.18,0.06,8.892,3941,53,54.2,41.1,74.4,338.35,529.9,1.02,
BFC5354,G1752-204-022,73.51,19.63595,30.06,0.195,10.53,50.4,-0.04,0.11,8.016,3941,52.5,53,42.2,64.1,347.7,581.6,0.82,
BFC5258,G1752-204-022,69.05,12.9632,31.08,0.189,10.52,51.59,-0.17,0.06,7.689,3949,52.2,53.7,42.2,65.1,332.95,332.4,1.07,
BFC5352,G1752-204-022,76.78,18.17688,27.81,0.177,10.52,52.01,-0.21,0.3,8.851,3948,52.8,54.4,42.2,67.8,334.63,624.1,1.29,
BFC4657,G1752-204-026,76.54,16.67979,29.85,0.174,10.52,48.05,-0.04,0.24,8.089,3941.2,53.4,54,41.4,68.6,365.38,723.9,0.77,
BFC3558,G1752-204-026,85.78,16.08395,28.86,0.148,10.51,51.99,-0.05,0.07,8.441,3941.1,52.7,54.1,41.4,75.9,367.4,575,1.11,
BFB1799,G1752-204-051,54.89,12.66863,26.34,0.246,10.55,53.51,-0.01,0.06,9.387,3928.8,53,53,42.2,71.4,375.18,198.8,1.43,
BFC3550,G1752-204-026,73.96,17.03576,24.82,0.183,10.52,50.49,-0.01,0.07,10.102,3949.8,52.3,53,42.9,71.3,312.58,510.1,1.06,
BFC4543,G1752-204-022,62.02,15.51986,29.13,0.223,10.56,47.48,-0.05,0.14,8.365,3951.1,51,52,43.2,71.5,315.13,481.8,1.15,
BFC4572,G1752-204-022,57.11,14.91897,31.81,0.243,10.55,47.28,-0.04,0.04,7.458,3951.5,53,53.5,42.1,72.9,322.39,368.5,0.78,
BFC4659,G1752-204-026,81.28,21.70977,31.15,0.176,10.5,52.65,-0.09,0.2,7.669,3950.6,51.3,52.7,43.1,73.9,347.3,617,0.73,
BFC4665,G1752-204-026,74.78,18.94087,30.57,0.187,10.52,51.14,-0.25,0.01,7.846,3942.6,52.2,53.7,42.2,68.1,336.03,511.5,0.71,
CFB6654,G1752-204-021,63.32,18.4193,27.47,0.227,10.51,43.69,-0.22,0.25,8.977,3945.5,53.2,53.3,42.1,67.7,316.63,332.4,0.69,
BFC5309,G1752-204-022,70.78,19.73698,30.58,0.208,10.51,47.99,-0.25,0.14,7.855,3949,51,52,42.1,71.1,342.93,672.1,1.49,
BFC5292,G1752-204-022,73.52,13.7636,27.48,0.171,10.52,49.04,-0.21,0.04,8.976,3946.6,52,52.8,42.6,66.4,353.54,819.8,0.88,
BFC4571,G1752-204-022,61.04,13.27597,28.97,0.213,10.51,48.52,-0.17,0.03,8.406,3943.3,53,53.5,41.1,72.1,372.75,481.9,0.94,
BFC5308,G1752-204-022,66.32,17.40221,26.86,0.217,10.51,43.01,-0.19,0.05,9.211,3942.1,52.3,53.7,43.1,64.9,330.34,859.5,1.5,
BFC4551,G1752-204-022,65.78,16.97972,28.11,0.21,10.53,47.72,-0.05,0.04,8.738,3948.8,52.9,53,41.6,72.5,355.87,522.8,0.95,
BFC3623,G1752-204-022,66.52,14.00983,25,0.199,10.53,52.61,-0.03,0.11,10.019,3949,51.3,52.7,42.1,72.2,354.72,690,0.83,
BFC4566,G1752-204-022,65.28,15.96021,29.79,0.213,10.53,48.19,-0.16,0.19,8.128,3950,52.9,53.2,40.7,65.1,389.35,707.5,0.88,
BFC4615,G1752-204-022,70.79,13.83635,31.4,0.184,10.5,51.62,-0.04,0.02,7.592,3953,52,53.6,42.6,73.1,364.14,325.4,0.99,
BFC6208,G1752-204-022,70.59,19.66319,25.36,0.208,10.52,45.58,-0.06,0.16,9.817,3934.5,51.7,53.1,42.6,70.7,352.67,506.9,1.34,
BFC5234,G1752-204-022,71.01,16.16221,27.58,0.19,10.53,47.15,-0.17,0.17,8.953,3953.1,52.3,53.6,41.6,70.7,326.03,599.1,1.08,
BFC5241,G1752-204-022,67.51,15.48906,30.05,0.202,10.52,51.83,-0.07,0.03,8.048,3955.2,52.5,53.3,42.7,67.3,318.15,635.8,0.97,
BFC4643,G1752-204-022,68.44,17.65801,32.37,0.203,10.52,45.23,-0.22,0.04,7.276,3947.3,52.7,53,41.1,71.9,361.06,533.9,0.7,
BFC4587,G1752-204-022,55.77,15.41084,30.82,0.256,10.55,48.86,-0.14,0.01,7.782,3952.8,53.2,53.5,41.9,73.1,324.39,360.4,1.16,
BFC4621,G1752-204-022,67.79,19.88818,33.36,0.217,10.51,49.66,-0.17,0.05,6.971,3942.2,52,53.2,42.9,72.5,372.69,195.1,0.94,
BFC4594,G1752-204-022,57.52,16.85853,31.57,0.25,10.51,46.17,-0.16,0.01,7.525,3946.1,52.9,53,42.1,71.1,327.67,383,1.26,
BFC4591,G1752-204-022,58.52,15.42607,30.05,0.239,10.53,44.14,-0.24,0.18,8.026,3944.3,53.2,53.7,41.7,72.1,324.44,449,1.23,
BFC4589,G1752-204-022,56.53,17.21641,29.75,0.258,10.5,46.11,-0.2,0.28,8.119,3938.9,52.9,53.3,42.4,69.2,321.52,342,1.03,
BFC5223,G1752-204-022,68.29,13.06179,33.16,0.182,10.52,46.84,-0.08,0.02,7.044,3951.5,52.7,53.1,41.9,69.8,349.32,329.7,1.03,
BFC6180,G1752-204-022,61.28,18.64377,28.83,0.242,10.54,48.19,-0.15,0.05,8.476,3951.8,52.2,52.7,42.4,71.1,322.93,371.3,0.64,
BFC4606,G1752-204-022,57.51,16.20364,30.98,0.251,10.55,42.43,-0.05,0.22,7.719,3947.5,52,53.7,41.9,73,323.7,359.1,0.783,
BFC6197,G1752-204-022,57.03,12.71291,22.64,0.236,10.54,44.26,-0.07,0.11,11.144,3951.2,51.5,53.1,42.7,67.8,332.55,480.8,0.78,
BFC6212,G1752-204-022,55.25,14.11808,27.87,0.25,10.53,44.19,-0.11,0.25,8.819,3944.3,52.5,53,42.4,72.1,310.73,356,1.11,
BFC5273,G1752-204-022,73.29,18.75161,29.28,0.191,10.5,48.09,-0.28,0.02,8.3,3946,52.5,53.2,43.2,71.3,312.17,352.4,1.33,
BFC6198,G1752-204-022,57.78,14.76724,29.01,0.243,10.54,49.77,-0.11,0.03,8.408,3950.8,51.5,53.1,42.9,72.6,318.97,446.1,1.36,
