WaferNo,BatchNo,TestDate,ChipID,Model,PFcode,MfgStep,Ith,Vf,Pwr,PwrEOL,SlopeEff,RollingFactor,Vkink,IforVkink,DiffR,Iop2,Pop2,Vop2,ModeECLwave
18623280,7505000,09/06/16,EN635,G3188-001-108,0,1,27.7,1.241,47.6,57.8,0.267,17.82%,0.000,0.0,1.715,0.0,0.00,0.000,1569.6
18623280,7505000,09/08/16,EN635,G3188-001-108,0,1,26.6,1.239,48.6,59.8,0.273,16.00%,0.000,0.0,1.715,0.0,0.00,0.000,1571.9
18623280,7505000,09/10/16,EN635,G3188-001-108,0,1,26.5,1.238,48.6,60.1,0.274,15.13%,0.000,0.0,1.708,0.0,0.00,0.000,1571.5
18623280,7505000,09/06/16,EN636,G3188-001-108,0,1,27.6,1.228,45.8,56.3,0.255,16.46%,0.000,0.0,1.668,0.0,0.00,0.000,1573.1
18623280,7505000,09/08/16,EN636,G3188-001-108,0,1,29.2,1.229,46.8,58.1,0.267,15.28%,0.000,0.0,1.659,0.0,0.00,0.000,1568.4
18623280,7505000,09/06/16,EN638,G3188-001-108,0,1,25.4,1.243,48.6,59.2,0.271,16.82%,0.000,0.0,1.737,0.0,0.00,0.000,1573.1
18623280,7505000,09/08/16,EN638,G3188-001-108,0,1,26.4,1.242,49.5,60.8,0.278,15.54%,0.000,0.0,1.726,0.0,0.00,0.000,1569.3
18623280,7505000,09/06/16,EN649,G3188-001-108,0,1,29.6,1.279,47.0,58.4,0.271,14.94%,0.000,0.0,1.840,0.0,0.00,0.000,1570.6
18623280,7506000,09/08/16,FF575,G3188-001-108,0,1,44.7,1.104,41.6,55.7,0.278,7.68%,0.000,0.0,1.060,0.0,0.00,0.000,1559.7
18623280,7506000,09/05/16,FU100,G3188-001-108,0,1,28.6,1.320,49.9,64.2,0.294,9.77%,0.000,0.0,1.970,0.0,0.00,0.000,1578.9
18623280,7506000,09/05/16,FU101,G3188-001-108,0,1,28.0,1.320,50.2,64.8,0.294,9.35%,0.000,0.0,1.973,0.0,0.00,0.000,1582.8
18623280,7506000,09/05/16,FU103,G3188-001-108,0,1,27.3,1.304,47.9,61.7,0.280,9.90%,0.000,0.0,1.912,0.0,0.00,0.000,1580.2
18623280,7506000,09/05/16,FU104,G3188-001-108,0,1,27.9,1.292,47.9,61.8,0.282,9.97%,0.000,0.0,1.869,0.0,0.00,0.000,1580.7
18623280,7506000,09/05/16,FU108,G3188-001-108,0,1,31.9,1.286,42.2,53.1,0.248,13.53%,0.000,0.0,1.876,0.0,0.00,0.000,1573.2
18623280,7506000,09/05/16,FU110,G3188-001-108,0,1,28.8,1.320,50.8,65.7,0.301,9.06%,0.000,0.0,1.969,0.0,0.00,0.000,1578.8
18623280,7506000,09/05/16,FU111,G3188-001-108,0,1,30.0,1.286,47.7,61.5,0.282,9.84%,0.000,0.0,1.829,0.0,0.00,0.000,1576.4
18623280,7506000,09/05/16,FU112,G3188-001-108,0,1,30.1,1.292,48.1,62.2,0.286,9.18%,0.000,0.0,1.851,0.0,0.00,0.000,1573.9
