,WaferNo,BatchNo,TestDate,ChipID,Model,PFcode,MfgStep,Ith,Vf,Pwr,PwrEOL,SlopeEff,RollingFactor,Vkink,IforVkink,DiffR,Iop2,Pop2,Vop2,ModeECLwave,WLRange,IthRange,SpecChange,LargeIthChange,Warning
645517,1,1,05/24/17,FW173,G3188-001-110,0:09,1,49.2,1.112,43.7,56.0,0.295,13.32%,1.178,338.2,1.069,350.0,62.9,1.185,1552.1,20.200000000000045,0.5,True,False,True
645518,1,1,05/24/17,FW173,G3188-001-110,0:09,1,48.7,1.111,43.6,55.8,0.293,13.65%,1.18,343.2,1.064,350.0,62.9,1.1840000000000002,1572.3,20.200000000000045,0.5,True,False,True
645519,1,1,05/24/17,FW173,G3188-001-110,0:09,1,48.9,1.111,43.7,56.1,0.295,13.32%,1.175,334.9,1.064,350.0,63.23,1.183,1553.1,20.200000000000045,0.5,True,False,True
201,18319280,4565000,08/02/15,HJ599,G3188-001-104,0:05,1,46.7,1.0979999999999999,35.9,48.0,0.243,8.31%,1.2590000000000001,356.7,0.98,0.0,0.0,0.0,1560.8,10.299999999999955,0.29999999999999716,True,False,True
202,18319280,4565000,08/08/15,HJ599,G3188-001-104,0:05,1,47.0,1.077,35.8,47.8,0.243,8.79%,1.1640000000000001,329.8,0.895,0.0,0.0,0.0,1550.5,10.299999999999955,0.29999999999999716,True,False,True
688,18369280,4600000,07/08/15,HJ579,G3188-001-107,0:02,1,29.4,2.122,44.7,48.0,0.252,29.95%,2.171,259.7,4.882,250.0,48.04,2.122,1554.7,0.7999999999999545,0.1999999999999993,True,False,True
689,18369280,4600000,07/08/15,HJ579,G3188-001-107,0:02,1,29.2,2.085,48.6,58.3,0.282,18.06%,2.191,270.0,4.8,250.0,58.26,2.085,1555.5,0.7999999999999545,0.1999999999999993,True,False,True
4489,18387280,4901000,10/22/15,ET591,G3188-001-108,0:05:04,1,46.5,1.115,34.5,43.8,0.228,15.86%,0.0,0.0,1.097,0.0,0.0,0.0,1555.0,4.599999999999909,1.8999999999999986,True,False,True
4490,18387280,4901000,10/26/15,ET591,G3188-001-108,0:08:05,1,48.4,1.082,36.1,47.9,0.24600000000000002,10.64%,1.162,389.8,0.9590000000000001,0.0,0.0,0.0,1550.4,4.599999999999909,1.8999999999999986,True,False,True
4674,18387280,4901000,10/22/15,EV590,G3188-001-108,0:05:04,1,49.4,1.089,34.3,45.1,0.23399999999999999,10.52%,0.0,0.0,0.9890000000000001,0.0,0.0,0.0,1556.8,7.099999999999909,0.6000000000000014,True,False,True
4675,18387280,4901000,10/26/15,EV590,G3188-001-108,0:8:5:4,1,50.0,1.075,34.3,45.3,0.235,10.39%,1.162,389.8,0.93,0.0,0.0,0.0,1549.7,7.099999999999909,0.6000000000000014,True,False,True
5431,18391280,4914000,09/27/15,EV675,G3188-001-108,0:8:4:4,1,37.9,1.197,30.8,35.2,0.171,26.52%,0.0,0.0,1.4509999999999998,0.0,0.0,0.0,1541.0,28.700000000000045,0.10000000000000142,True,False,True
5432,18391280,4914000,10/01/15,EV675,G3188-001-108,0:04:04,1,38.0,1.195,31.8,36.2,0.175,26.75%,0.0,0.0,1.444,0.0,0.0,0.0,1569.7,28.700000000000045,0.10000000000000142,True,False,True
8216,18398280,4786000,07/22/15,EX572,G3188-001-107,0:09:04,1,33.7,1.25,43.4,42.5,0.255,33.14%,1.2690000000000001,218.4,1.9509999999999998,0.0,0.0,0.0,1556.5,4.599999999999909,0.5,True,False,True
8217,18398280,4786000,10/14/15,EX572,G3188-001-107,0:8:09:4,1,34.2,1.251,40.0,38.1,0.23199999999999998,36.49%,1.2309999999999999,196.4,1.955,0.0,0.0,0.0,1551.9,4.599999999999909,0.5,True,False,True
8483,18398280,4785000,07/03/15,FH167,G3188-001-107,0:04:04,1,34.1,1.2409999999999999,15.6,14.6,0.09300000000000001,38.66%,1.288,238.0,1.921,250.0,14.61,1.2409999999999999,1556.5,12.200000000000045,0.7999999999999972,True,False,True
8484,18398280,4785000,07/03/15,FH167,G3188-001-107,0:04:04,1,34.2,1.314,18.8,23.7,0.115,14.06%,1.318,338.4,1.921,250.0,23.72,1.314,1550.8,12.200000000000045,0.7999999999999972,True,False,True
8485,18398280,4785000,07/06/15,FH167,G3188-001-107,0:04,1,34.9,1.2429999999999999,40.8,39.1,0.239,36.29%,1.29,239.7,1.902,250.0,39.06,1.2429999999999999,1563.0,12.200000000000045,0.7999999999999972,True,False,True
8486,18398280,4785000,07/06/15,FH167,G3188-001-107,0:04,1,34.9,1.2409999999999999,41.2,39.4,0.242,36.24%,1.2930000000000001,241.3,1.901,250.0,39.37,1.2409999999999999,1562.0,12.200000000000045,0.7999999999999972,True,False,True
8588,18398280,4777000,08/05/15,FV575,G3188-001-107,0:05,1,46.1,1.3230000000000002,40.1,51.4,0.266,12.87%,0.0,0.0,1.931,0.0,0.0,0.0,1554.2,4.0,0.5,True,False,True
8589,18398280,4777000,08/08/15,FV575,G3188-001-107,0:05,1,46.6,1.321,39.5,51.2,0.263,12.09%,1.35,266.3,1.912,0.0,0.0,0.0,1558.2,4.0,0.5,True,False,True
