Serial Number,Excel Timestamp,Station,Wafer ID,PCBA ID,ChassisSlot,CNR,CSO-,CTB,CSO+,LIP Peak Power,Wavelength,SMSR,SMSR Iop,Flat,Chassis,Slot,Slot 2dig
BFHB120,9/20/17 1:59 PM,322,21273350,H17031800026,430,52.91007034,65.05559007,58.71451918,61.73178593,,1539.763,35.93,53.33,0.6625,4,30,30
BFI0901,9/20/17 1:55 PM,322,21386350,H17031800055,429,,,,,,1554.138,30.69,51.54,0.52578,4,29,29
BFHC111,9/20/17 1:50 PM,322,21140350,H17031800154,428,52.91007034,61.63572208,60.14888265,54.27230325,,1530.333,32.91,52.64,0.59609,4,28,28
BFHA150,9/20/17 1:45 PM,322,21255350,2,427,53.08785847,57.8660857,62.30572208,48.85852395,,1561.417,37.19,55.4,0.53555,4,27,27
BFHA989,9/20/17 1:39 PM,322,21016350,27,306,52.58007034,58.75135734,71.05252913,44.34225736,,1531.117,27.74,51.61,0.38321,3,6,06
BFI1009,9/20/17 1:39 PM,322,21386350,DQ0G1398,222,,,,,,,,,,2,22,22
BFHC138,9/20/17 1:34 PM,322,L20571450,H17031800131,221,,,,,,1530.327,36.25,53.44,0.36367,2,21,21
BFFN212,9/20/17 1:30 PM,322,21281350,H17031800085,431,,,,,,1549.32,34.54,55.08,0.64493,4,31,31
BFI1053,9/20/17 1:29 PM,322,21386350,DQ0H2008,416,,,,,,,,,,4,16,16
BFHB096,9/20/17 1:28 PM,322,21273350,DQ0H2079,407,,,,,,,,,,4,7,07
BFHA144,9/20/17 1:23 PM,322,21255350,H17031800087,412,53.43391926,60.70353132,61.62757491,49.70888005,,1561.422,26.4,49.45,0.53359,4,12,12
BFHA959,9/20/17 1:18 PM,322,21260350,DQ0H0464,411,50.16558993,59.16704967,66.17,44.51944268,,1531.116,26.72,48.79,0.62929,4,11,11
BFHB632,9/20/17 1:13 PM,322,L21006350,H17031800200,409,53.09548578,60.00211162,65.02037287,48.0244911,,1536.609,21.74,49.71,0.41055,4,9,09
BFHA168,9/20/17 1:08 PM,322,21255350,37,405,53.07739146,58.0360857,69.49102143,42.3380202,,1561.423,3.26,51.15,0.44375,4,5,05
BFHB668,9/20/17 1:02 PM,322,21010350,7,216,52.40259433,58.97888265,68.33,45.51605413,,1531.128,16.16,46.05,0.5043,2,16,16
BFHA992,9/20/17 12:58 PM,322,21016350,H17031800120,214,,,,,,1531.126,28.79,49.19,0.50039,2,14,14
BFGH886,9/20/17 12:53 PM,322,21094350,DQ0H2129,213,53.10597234,59.6361994,69.49102143,45.34427242,,1536.62,28.34,52.29,0.49453,2,13,13
BFHA143,9/20/17 12:48 PM,322,21255350,DQ0G0989,212,53.59548578,57.32289341,66.55284268,42.33688856,,1561.428,30.59,52.06,0.19766,2,12,12
BFHB594,9/20/17 12:43 PM,322,21217350,H17031800060,211,53.28270681,62.53882409,59.42135734,50.88722188,,1536.608,31.98,54.71,0.48086,2,11,11
BFHA193,9/20/17 12:38 PM,322,21352350,DQ0G0952,210,53.10597234,58.57143495,68.84,43.51052714,,1561.418,34.92,51.38,0.48281,2,10,10
BFI0844,9/20/17 12:38 PM,322,21386350,DQ0H1594,209,,,,,,,,,,2,9,09
BFHC117,9/20/17 12:33 PM,322,21026350,48,208,52.57259433,60.78757491,65.09517091,51.56178312,,1530.332,26.92,48.87,0.28945,2,8,08
BFGF231,9/20/17 12:29 PM,322,21084350,DQ0H2045,207,52.40259433,58.25135734,68.67,43.51092271,,1554.129,30.89,52.74,0.5375,2,7,07
BFI1014,9/20/17 12:24 PM,322,21386350,DQ0H1845,206,52.92785847,55.95888809,69.33,42.83899983,,1554.128,25.77,52.73,0.39688,2,6,06
BFHC183,9/20/17 12:20 PM,322,21217350,DQ0H1389,205,52.75007034,60.01944514,68.16,44.51178619,,1535.822,31.71,54.32,0.45742,2,5,05
BFHC043,9/20/17 12:19 PM,322,21261350,H17031800052,232,,,,,,,,,,2,32,32
BFI0931,9/20/17 12:14 PM,322,21386350,DQ0H1161,231,51.8822935,56.16992324,69,44.34375536,,1554.131,30.8,51.6,0.5375,2,31,31
BFI0834,9/20/17 12:10 PM,322,21386350,DQ0H0465,230,52.75007034,57.71502614,69,43.18012256,,1554.129,35.41,53.17,0.5707,2,30,30
BFFD831,9/20/17 12:05 PM,322,21167350,DQ0H0756,228,53.10391926,54.76473544,69,42.66834068,,1545.321,16.84,50.95,0.53554,2,28,28
BFI1438,9/20/17 12:00 PM,322,21297350,DQ0H1226,227,52.74739146,58.76169993,69.66955223,43.00867397,,1536.619,31.45,49.44,0.475,2,27,27
BFI0838,9/20/17 11:55 AM,322,21386350,DQ0H0620,226,52.74739146,59.29473922,71.3506244,43.68135932,,1554.136,31.2,49.67,0.40664,2,26,26
BFHC184,9/20/17 11:50 AM,322,21217350,H17031800155,225,52.41007034,62.22040678,63.51824352,51.22502151,,1535.821,28.91,52.02,0.62148,2,25,25
BFHC115,9/20/17 11:46 AM,322,21026350,H17031800194,224,51.87592631,62.40940367,66.60777756,49.54900408,,1530.337,33.03,50.47,0.475,2,24,24
